ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-10-01,713368.1384617074,1028929.9776042112,1046642.3307182105,713368.1384617074,713368.1384617074,324281.11814148363,324281.11814148363,324281.11814148363,324281.11814148363,324281.11814148363,324281.11814148363,0.0,0.0,0.0,1037649.256603191
2010-11-01,717866.7476892606,1159399.6353389437,1176984.1335906433,717866.7476892606,717866.7476892606,450623.3950569108,450623.3950569108,450623.3950569108,450623.3950569108,450623.3950569108,450623.3950569108,0.0,0.0,0.0,1168490.1427461714
2010-12-01,722220.2405269389,538718.4619564795,556431.1852499573,722220.2405269389,722220.2405269389,-174759.6295917066,-174759.6295917066,-174759.6295917066,-174759.6295917066,-174759.6295917066,-174759.6295917066,0.0,0.0,0.0,547460.6109352324
2011-01-01,726718.8495963305,561502.6237623753,580304.9860329528,726718.8495963305,726718.8495963305,-155354.5499779973,-155354.5499779973,-155354.5499779973,-155354.5499779973,-155354.5499779973,-155354.5499779973,0.0,0.0,0.0,571364.2996183332
2011-02-01,731217.4586753536,443141.7157695006,461006.3198269763,731217.4586753536,731217.4586753536,-278963.32109385653,-278963.32109385653,-278963.32109385653,-278963.32109385653,-278963.32109385653,-278963.32109385653,0.0,0.0,0.0,452254.137581497
2011-03-01,735293.828356309,591844.4504651442,609276.4436697473,735293.828356309,735293.828356309,-134563.82345087,-134563.82345087,-134563.82345087,-134563.82345087,-134563.82345087,-134563.82345087,0.0,0.0,0.0,600730.004905439
2011-04-01,739807.0608247555,463775.6984874356,482234.94473079254,739807.0608247555,739807.0608247555,-266944.7127888311,-266944.7127888311,-266944.7127888311,-266944.7127888311,-266944.7127888311,-266944.7127888311,0.0,0.0,0.0,472862.34803592437
2011-05-01,744174.7289998207,670078.7993826264,687758.0075139077,744174.7289998207,744174.7289998207,-65094.92737168683,-65094.92737168683,-65094.92737168683,-65094.92737168683,-65094.92737168683,-65094.92737168683,0.0,0.0,0.0,679079.8016281339
2011-06-01,748687.9862026264,649738.762461884,667772.4054431221,748687.9862026264,748687.9862026264,-90025.15418390867,-90025.15418390867,-90025.15418390867,-90025.15418390867,-90025.15418390867,-90025.15418390867,0.0,0.0,0.0,658662.8320187177
2011-07-01,753055.2623477837,586515.7930862522,604613.1550276837,753055.2623477837,753055.2623477837,-158008.774277264,-158008.774277264,-158008.774277264,-158008.774277264,-158008.774277264,-158008.774277264,0.0,0.0,0.0,595046.4880705196
2011-08-01,750542.4714355178,629920.690894909,647382.2346438939,750542.4714355178,750542.4714355178,-111782.38596756951,-111782.38596756951,-111782.38596756951,-111782.38596756951,-111782.38596756951,-111782.38596756951,0.0,0.0,0.0,638760.0854679482
2011-09-01,748029.6805232519,936462.1911046345,953177.194965644,748029.6805232519,748029.6805232519,196941.6003630194,196941.6003630194,196941.6003630194,196941.6003630194,196941.6003630194,196941.6003630194,0.0,0.0,0.0,944971.2808862713
2011-10-01,745597.9473823493,1021848.465531498,1040367.0796509545,745597.9473823493,745597.9473823493,285488.85405373626,285488.85405373626,285488.85405373626,285488.85405373626,285488.85405373626,285488.85405373626,0.0,0.0,0.0,1031086.8014360855
2011-11-01,743085.1564700834,1144791.1366809236,1163215.0155584835,743085.1564700834,743085.1564700834,411067.3800302632,411067.3800302632,411067.3800302632,411067.3800302632,411067.3800302632,411067.3800302632,0.0,0.0,0.0,1154152.5365003466
2011-12-01,740653.4233291808,520126.62678399816,537345.8687590604,740653.4233291808,740653.4233291808,-211632.59258379778,-211632.59258379778,-211632.59258379778,-211632.59258379778,-211632.59258379778,-211632.59258379778,0.0,0.0,0.0,529020.830745383
2011-12-31,738221.6901882782,1116031.4743351066,1133785.0237167615,737157.1486348256,739183.3352353865,386801.01361179206,386801.01361179206,386801.01361179206,386801.01361179206,386801.01361179206,386801.01361179206,0.0,0.0,0.0,1125022.7038000703
2012-01-31,735708.8992760122,522181.1021185549,542544.738259291,732353.4096051225,738727.1368680394,-203037.82089719863,-203037.82089719863,-203037.82089719863,-203037.82089719863,-203037.82089719863,-203037.82089719863,0.0,0.0,0.0,532671.0783788136
2012-02-29,733358.2239064731,545139.8843342159,566797.8329999533,726714.7823055855,739471.5354683062,-176990.94212672082,-176990.94212672082,-176990.94212672082,-176990.94212672082,-176990.94212672082,-176990.94212672082,0.0,0.0,0.0,556367.2817797523
2012-03-31,730845.4329942073,365331.4943009033,391769.2464549531,720498.4939617438,740265.1456886478,-351975.53927447397,-351975.53927447397,-351975.53927447397,-351975.53927447397,-351975.53927447397,-351975.53927447397,0.0,0.0,0.0,378869.8937197333
2012-04-30,728413.6998533047,738666.6296987708,771746.2490787534,713300.806325348,742043.6174520948,27112.735361714487,27112.735361714487,27112.735361714487,27112.735361714487,27112.735361714487,27112.735361714487,0.0,0.0,0.0,755526.4352150192
2012-05-31,725900.9089410388,622426.39919021,662300.8066047168,705981.6920054331,743976.5002719944,-82913.53612297295,-82913.53612297295,-82913.53612297295,-82913.53612297295,-82913.53612297295,-82913.53612297295,0.0,0.0,0.0,642987.3728180658
