Description,Total_Quantity_Sold,Total_Orders,Total_Revenue,Avg_Daily_Demand,Reorder_Point
200 BENDY SKULL STRAWS,1224,95,1370.4,40.8,285.59999999999997
200 RED + WHITE BENDY STRAWS,1930,296,2325.86,64.33333333333333,450.3333333333333
24 HANGING EASTER EGGS FLORAL TUB,654,99,2222.1,21.8,152.6
3 BIRDS CANVAS SCREEN,3,3,3.69,0.1,0.7000000000000001
3 BLACK CATS W HEARTS BLANK CARD,79,9,15.010000000000002,2.6333333333333333,18.433333333333334
3 DRAWER ANTIQUE WHITE WOOD CABINET,707,186,6124.13,23.566666666666666,164.96666666666667
3 GARDENIA MORRIS BOXED CANDLES,819,110,2145.11,27.3,191.1
3 HEARTS HANGING DECORATION RUSTIC,7982,646,22471.86,266.06666666666666,1862.4666666666667
3 HOOK HANGER MAGIC GARDEN,2623,140,4672.049999999999,87.43333333333334,612.0333333333333
3 HOOK PHOTO SHELF ANTIQUE WHITE,2999,544,21458.420000000002,99.96666666666667,699.7666666666667
3 PIECE JIGSAW TOADSTOOLS,16,2,26.4,0.5333333333333333,3.7333333333333334
3 PIECE SPACEBOY COOKIE CUTTER SET,2635,321,5288.740000000001,87.83333333333333,614.8333333333333
3 PINK HEN+CHICKS IN BASKET,99,13,112.35,3.3,23.099999999999998
3 RAFFIA RIBBONS 50'S CHRISTMAS ,1782,134,1624.5,59.4,415.8
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,676,44,606.28,22.533333333333335,157.73333333333335
3 ROSE MORRIS BOXED CANDLES,1237,158,2223.73,41.233333333333334,288.6333333333333
3 STRIPEY MICE FELTCRAFT,6971,717,12515.65,232.36666666666667,1626.5666666666666
3 TIER CAKE TIN GREEN AND CREAM,476,184,6558.5599999999995,15.866666666666667,111.06666666666666
3 TIER CAKE TIN RED AND CREAM,844,220,11467.38,28.133333333333333,196.93333333333334
3 TIER SWEETHEART GARDEN SHELF,61,48,2153.9500000000003,2.033333333333333,14.233333333333333
3 TRADITIONAL COOKIE CUTTERS  SET,354,10,671.4000000000001,11.8,82.60000000000001
3 TRADITIONAl BISCUIT CUTTERS  SET,1423,218,2946.92,47.43333333333333,332.0333333333333
3 WHITE CHOC MORRIS BOXED CANDLES,1105,111,2232.73,36.833333333333336,257.83333333333337
3 WICK CHRISTMAS BRIAR CANDLE ,260,59,975.0,8.666666666666666,60.666666666666664
36 DOILIES DOLLY GIRL,1929,131,2681.85,64.3,450.09999999999997
36 DOILIES SPACEBOY DESIGN ,705,52,993.4499999999999,23.5,164.5
36 DOILIES VINTAGE CHRISTMAS,7744,299,10590.4,258.1333333333333,1806.9333333333334
36 FOIL HEART CAKE CASES,2438,225,4699.370000000001,81.26666666666667,568.8666666666667
36 FOIL STAR CAKE CASES ,1404,156,2740.0400000000004,46.8,327.59999999999997
36 PENCILS TUBE POSY,171,39,213.75,5.7,39.9
36 PENCILS TUBE RED RETROSPOT,4516,316,5450.4400000000005,150.53333333333333,1053.7333333333333
36 PENCILS TUBE RED SPOTTY,3225,202,3882.29,107.5,752.5
36 PENCILS TUBE SKULLS,3789,396,4654.17,126.3,884.1
36 PENCILS TUBE WOODLAND,3508,357,4357.64,116.93333333333334,818.5333333333333
3D CHRISTMAS STAMPS STICKERS ,1756,169,2192.68,58.53333333333333,409.73333333333335
3D DOG PICTURE PLAYING CARDS,1207,169,3445.4500000000003,40.233333333333334,281.6333333333333
3D HEARTS  HONEYCOMB PAPER GARLAND,856,94,2463.6000000000004,28.533333333333335,199.73333333333335
3D SHEET OF CAT STICKERS,1140,150,969.0,38.0,266.0
3D SHEET OF DOG STICKERS,1161,151,987.63,38.7,270.90000000000003
3D SHEET OF SEA WORLD STICKERS,145,29,123.25,4.833333333333333,33.83333333333333
3D STICKERS CHRISTMAS STAMPS,940,34,1137.0,31.333333333333332,219.33333333333331
3D STICKERS TRADITIONAL CHRISTMAS ,980,36,1187.0,32.666666666666664,228.66666666666666
3D STICKERS VINTAGE CHRISTMAS,1060,38,1268.0,35.333333333333336,247.33333333333334
3D TRADITIONAL CHRISTMAS STICKERS,2296,217,2893.04,76.53333333333333,535.7333333333333
3D VINTAGE CHRISTMAS STICKERS ,2407,205,2995.59,80.23333333333333,561.6333333333333
4 BLUE DINNER CANDLES SILVER FLOCK,205,44,445.34999999999997,6.833333333333333,47.83333333333333
4 BURGUNDY WINE DINNER CANDLES,529,31,302.69,17.633333333333333,123.43333333333334
4 FESTIVE GREEN DINNER CANDLES,51,2,23.91,1.7,11.9
4 GOLD FLOCK CHRISTMAS BALLS,126,29,198.0,4.2,29.400000000000002
4 IVORY DINNER CANDLES GOLD FLOCK,816,62,1029.72,27.2,190.4
4 IVORY DINNER CANDLES SILVER FLOCK,1268,226,2200.2,42.266666666666666,295.8666666666667
4 LAVENDER BOTANICAL DINNER CANDLES,1116,134,2154.5,37.2,260.40000000000003
4 LILY  BOTANICAL DINNER CANDLES,778,142,1970.0,25.933333333333334,181.53333333333333
4 PEAR BOTANICAL DINNER CANDLES,1081,155,2241.25,36.03333333333333,252.23333333333332
4 PINK DINNER CANDLE SILVER FLOCK,257,42,385.51,8.566666666666666,59.96666666666667
4 PINK FLOCK CHRISTMAS BALLS,161,43,241.75,5.366666666666666,37.56666666666666
4 ROSE PINK DINNER CANDLES,528,22,332.15999999999997,17.6,123.20000000000002
4 SKY BLUE DINNER CANDLES,363,22,214.71,12.1,84.7
4 TRADITIONAL SPINNING TOPS,7559,654,9763.68,251.96666666666667,1763.7666666666667
4 VANILLA BOTANICAL CANDLES,1052,168,1832.5,35.06666666666667,245.4666666666667
4 WILDFLOWER BOTANICAL CANDLES,594,98,1519.0,19.8,138.6
5 HOOK BLACKBOARD ORGANISER ,300,102,2579.64,10.0,70.0
5 HOOK HANGER MAGIC TOADSTOOL,1757,96,2707.0499999999997,58.56666666666667,409.9666666666667
5 HOOK HANGER RED MAGIC TOADSTOOL,4471,181,6757.95,149.03333333333333,1043.2333333333333
5 STRAND GLASS NECKLACE AMBER,15,9,95.25,0.5,3.5
5 STRAND GLASS NECKLACE AMETHYST,17,12,107.94999999999999,0.5666666666666667,3.966666666666667
5 STRAND GLASS NECKLACE BLACK,15,9,95.25,0.5,3.5
5 STRAND GLASS NECKLACE CRYSTAL,94,26,553.9,3.1333333333333333,21.933333333333334
50'S CHRISTMAS PAPER GIFT BAG,1317,88,1059.9399999999998,43.9,307.3
50CM METAL STRING WITH  7 CLIPS,316,35,244.11999999999998,10.533333333333333,73.73333333333333
6 CHOCOLATE LOVE HEART T-LIGHTS,2502,282,4935.76,83.4,583.8000000000001
6 CROCHET STRAWBERRIES,937,69,1096.39,31.233333333333334,218.63333333333333
6 EGG HOUSE PAINTED WOOD,923,297,6881.6900000000005,30.766666666666666,215.36666666666667
6 GIFT TAGS 50'S CHRISTMAS ,3343,261,2750.93,111.43333333333334,780.0333333333333
6 GIFT TAGS VINTAGE CHRISTMAS ,3726,253,3068.8199999999997,124.2,869.4
6 HOOK JEWEL STAND LILAC DRESS,1,1,8.49,0.03333333333333333,0.23333333333333334
6 HOOK JEWELLERY STAND BLACK DRESS,516,28,1071.6,17.2,120.39999999999999
6 RABBIT CHAIN EASTER,52,7,44.199999999999996,1.7333333333333334,12.133333333333333
6 RIBBONS ELEGANT CHRISTMAS ,2801,256,4031.2699999999995,93.36666666666666,653.5666666666666
6 RIBBONS EMPIRE  ,2100,240,3030.4199999999996,70.0,490.0
6 RIBBONS RUSTIC CHARM,16026,1361,27031.039999999997,534.2,3739.4000000000005
6 RIBBONS SHIMMERING PINKS ,1741,152,1707.59,58.03333333333333,406.23333333333335
6 ROCKET BALLOONS ,3699,307,2431.9500000000003,123.3,863.1
6 SEGMENT COLOURED SNACK BOWL ,18,9,143.1,0.6,4.2
60 CAKE CASES DOLLY GIRL DESIGN,9707,492,4983.610000000001,323.56666666666666,2264.9666666666667
60 CAKE CASES VINTAGE CHRISTMAS,25179,801,12556.77,839.3,5875.099999999999
60 GOLD AND SILVER FAIRY CAKE CASES,4201,161,2006.23,140.03333333333333,980.2333333333333
60 TEATIME FAIRY CAKE CASES,52828,1765,25785.920000000002,1760.9333333333334,12326.533333333333
6PC WOOD PLATE SET DISPOSABLE,405,16,443.25,13.5,94.5
70'S ALPHABET WALL ART,150,15,1043.1,5.0,35.0
72 CAKE CASES DOLLY GIRL DESIGN,943,25,471.85,31.433333333333334,220.03333333333333
72 CAKE CASES VINTAGE CHRISTMAS,4293,99,2148.9900000000002,143.1,1001.6999999999999
72 ROUND PINK DOILIES,115,15,166.75,3.8333333333333335,26.833333333333336
72 SWEETHEART FAIRY CAKE CASES,33936,1176,16178.470000000001,1131.2,7918.400000000001
75 BLACK FAIRY CAKE CASES,985,46,479.35,32.833333333333336,229.83333333333334
75 BLACK PETIT FOUR CASES,521,77,218.82,17.366666666666667,121.56666666666666
75 GREEN FAIRY CAKE CASES,2066,121,1027.1000000000001,68.86666666666666,482.0666666666666
75 GREEN PETIT FOUR CASES,1343,126,564.06,44.766666666666666,313.3666666666667
A PRETTY THANK YOU CARD,438,26,179.64,14.6,102.2
A4 WALL TIDY BLUE OFFICE,228,8,124.44000000000001,7.6,53.199999999999996
A4 WALL TIDY RED FLOWERS,15,6,8.67,0.5,3.5
ABC TREASURE BOOK BOX ,2088,186,4373.26,69.6,487.19999999999993
ABSTRACT CIRCLE JOURNAL ,902,113,1831.2,30.066666666666666,210.46666666666667
ABSTRACT CIRCLES NOTEBOOK,3187,53,698.55,106.23333333333333,743.6333333333333
ABSTRACT CIRCLES POCKET BOOK,5378,74,920.9,179.26666666666668,1254.8666666666668
ABSTRACT CIRCLES SKETCHBOOK ,597,144,1721.88,19.9,139.29999999999998
"ACRYLIC BEAD CHAIN, BLUE",229,1,87.02,7.633333333333334,53.43333333333334
"ACRYLIC BEAD CHAIN, PINK",114,1,43.32,3.8,26.599999999999998
"ACRYLIC BEAD GARLAND,PINK",2,2,5.9,0.06666666666666667,0.4666666666666667
ACRYLIC GEOMETRIC LAMP,27,20,497.65,0.9,6.3
"ACRYLIC HANGING JEWEL,BLUE",381,29,182.19,12.7,88.89999999999999
"ACRYLIC HANGING JEWEL,PINK",95,7,66.55,3.1666666666666665,22.166666666666664
"ACRYLIC JEWEL ANGEL,BLUE",137,2,52.93,4.566666666666666,31.966666666666665
"ACRYLIC JEWEL ANGEL,PINK",292,7,124.88000000000001,9.733333333333333,68.13333333333333
"ACRYLIC JEWEL ICICLE, BLUE",403,8,168.38,13.433333333333334,94.03333333333333
"ACRYLIC JEWEL ICICLE, PINK",549,20,208.62,18.3,128.1
"ACRYLIC JEWEL SNOWFLAKE, PINK",168,7,75.88000000000001,5.6,39.199999999999996
"ACRYLIC JEWEL SNOWFLAKE,BLUE",235,4,91.47,7.833333333333333,54.83333333333333
"ACRYLIC JEWEL SNOWFLAKE,PINK",406,9,202.02,13.533333333333333,94.73333333333333
ADULT APRON APPLE DELIGHT,179,40,891.9300000000001,5.966666666666667,41.766666666666666
ADVENT CALENDAR GINGHAM SACK,1785,388,10338.230000000001,59.5,416.5
AFGHAN SLIPPER SOCK PAIR,2567,72,8251.15,85.56666666666666,598.9666666666667
AGED GLASS SILVER T-LIGHT HOLDER,17004,532,10338.6,566.8,3967.5999999999995
AIRLINE BAG VINTAGE JET SET BROWN,471,194,2171.25,15.7,109.89999999999999
AIRLINE BAG VINTAGE JET SET RED,894,341,4273.34,29.8,208.6
AIRLINE BAG VINTAGE JET SET WHITE,449,191,2148.09,14.966666666666667,104.76666666666667
AIRLINE BAG VINTAGE TOKYO 78,1522,505,6962.4800000000005,50.733333333333334,355.1333333333333
AIRLINE BAG VINTAGE WORLD CHAMPION ,526,228,2554.08,17.533333333333335,122.73333333333335
"AIRLINE LOUNGE,METAL SIGN",892,290,1840.91,29.733333333333334,208.13333333333333
ALARM CLOCK BAKELIKE CHOCOLATE,2266,419,8367.84,75.53333333333333,528.7333333333333
ALARM CLOCK BAKELIKE GREEN,6713,1041,24898.96,223.76666666666668,1566.3666666666668
ALARM CLOCK BAKELIKE IVORY,3451,616,12951.5,115.03333333333333,805.2333333333333
ALARM CLOCK BAKELIKE ORANGE,2797,500,10300.44,93.23333333333333,652.6333333333333
ALARM CLOCK BAKELIKE PINK,5833,772,21369.98,194.43333333333334,1361.0333333333333
ALARM CLOCK BAKELIKE RED ,8512,1144,30703.09,283.73333333333335,1986.1333333333334
ALPHABET HEARTS STICKER SHEET,807,93,685.9499999999999,26.9,188.29999999999998
ALPHABET STENCIL CRAFT,4526,312,5137.01,150.86666666666667,1056.0666666666666
ALUMINIUM HEART,30,6,74.7,1.0,7.0
ALUMINIUM STAMPED HEART,771,124,1852.5500000000002,25.7,179.9
AMBER BERTIE GLASS BEAD BAG CHARM,2,2,4.2,0.06666666666666667,0.4666666666666667
AMBER BERTIE MOBILE PHONE CHARM,17,2,28.73,0.5666666666666667,3.966666666666667
AMBER CHUNKY BEAD BRACELET W STRAP,29,12,259.55,0.9666666666666667,6.766666666666667
AMBER CHUNKY GLASS+BEAD NECKLACE,21,15,250.95,0.7,4.8999999999999995
AMBER CRYSTAL DROP EARRINGS,1,1,2.95,0.03333333333333333,0.23333333333333334
AMBER DIAMANTE EXPANDABLE RING,36,9,153.0,1.2,8.4
AMBER DROP EARRINGS W LONG BEADS,26,6,76.70000000000002,0.8666666666666667,6.066666666666666
AMBER FINE BEAD NECKLACE W TASSEL,8,5,47.6,0.26666666666666666,1.8666666666666667
AMBER GLASS BRACELET HEART CHARMS,9,4,44.550000000000004,0.3,2.1
AMBER GLASS TASSLE BAG CHARM,37,12,109.15000000000002,1.2333333333333334,8.633333333333333
AMBER GLASS/SHELL/PEARL NECKLACE,3,3,26.849999999999998,0.1,0.7000000000000001
AMBER GLASS/SILVER BRACELET,32,18,279.95,1.0666666666666667,7.466666666666667
AMETHYST CHUNKY BEAD BRACELET W STR,46,26,411.7,1.5333333333333334,10.733333333333334
AMETHYST DIAMANTE EXPANDABLE RING,44,13,187.0,1.4666666666666666,10.266666666666666
AMETHYST HOOP EARRING FLORAL LEAF,48,15,141.60000000000002,1.6,11.200000000000001
ANGEL DECORATION 3 BUTTONS ,6808,227,2816.16,226.93333333333334,1588.5333333333333
ANGEL DECORATION PAINTED ZINC ,2165,82,1292.0500000000002,72.16666666666667,505.1666666666667
ANGEL DECORATION STARS ON DRESS,5389,191,2243.22,179.63333333333333,1257.4333333333334
ANGEL DECORATION WITH LACE PADDED,1671,112,1420.35,55.7,389.90000000000003
ANGEL ON KNEES METAL POLE 100CM H,6,1,5.1,0.2,1.4000000000000001
ANIMAL STICKERS,3427,100,718.47,114.23333333333333,799.6333333333333
ANIMALS AND NATURE WALL ART,267,17,923.97,8.9,62.300000000000004
ANT COPPER LIME BOUDICCA BRACELET,99,34,490.05,3.3,23.099999999999998
ANT COPPER PINK BOUDICCA BRACELET,74,24,363.85,2.466666666666667,17.266666666666666
ANT COPPER RED BOUDICCA BRACELET,39,14,193.05,1.3,9.1
ANT COPPER TURQ BOUDICCA BRACELET,87,26,430.65000000000003,2.9,20.3
ANT SILVER FUSCHIA BOUDICCA RING,42,16,123.90000000000002,1.4,9.799999999999999
ANT SILVER LIME GREEN BOUDICCA RING,54,19,159.3,1.8,12.6
ANT SILVER PURPLE BOUDICCA RING,26,11,76.7,0.8666666666666667,6.066666666666666
ANT SILVER TURQUOISE BOUDICCA RING,29,10,85.55000000000001,0.9666666666666667,6.766666666666667
ANT WHITE HIGH RISE BIRD BOX,49,3,304.0,1.6333333333333333,11.433333333333334
ANT WHITE IRON BASKET,33,15,186.35000000000002,1.1,7.700000000000001
ANT WHITE SWEETHEART TABLE W 3 DRAW,3,3,320.0,0.1,0.7000000000000001
ANT WHITE WIRE HEART SPIRAL,1654,269,5817.66,55.13333333333333,385.93333333333334
ANTIQUE ALL GLASS CANDLESTICK,1470,141,2143.08,49.0,343.0
ANTIQUE CREAM CUTLERY CUPBOARD,39,27,497.25,1.3,9.1
ANTIQUE CREAM CUTLERY SHELF ,106,58,901.0,3.533333333333333,24.733333333333334
ANTIQUE EDWARDIAN DRESSER,52,11,737.4,1.7333333333333334,12.133333333333333
ANTIQUE GLASS DRESSING TABLE POT,2172,258,6228.360000000001,72.4,506.80000000000007
ANTIQUE GLASS HEART DECORATION ,2003,152,3819.45,66.76666666666667,467.3666666666667
ANTIQUE GLASS PEDESTAL BOWL,1144,226,4175.85,38.13333333333333,266.93333333333334
ANTIQUE GLASS PLACE SETTING,839,39,994.03,27.966666666666665,195.76666666666665
ANTIQUE GLASS RIDGED HANGING BALL,775,52,1453.6499999999999,25.833333333333332,180.83333333333331
ANTIQUE HEART SHELF UNIT,267,68,3879.15,8.9,62.300000000000004
ANTIQUE IVORY WIRE BOWL SMALL,97,19,241.53000000000003,3.2333333333333334,22.633333333333333
ANTIQUE LILY FAIRY LIGHTS,2668,281,12081.0,88.93333333333334,622.5333333333333
ANTIQUE MID BLUE FLOWER EARRINGS,7,4,29.75,0.23333333333333334,1.6333333333333333
ANTIQUE OLIVE GREEN FLOWER EARRINGS,16,7,68.0,0.5333333333333333,3.7333333333333334
ANTIQUE OPAL WHITE FLOWER EARRINGS,6,5,25.5,0.2,1.4000000000000001
ANTIQUE RASPBERRY FLOWER EARRINGS,4,3,17.0,0.13333333333333333,0.9333333333333333
ANTIQUE SILVER BAUBLE LAMP  ,369,72,3437.7000000000003,12.3,86.10000000000001
ANTIQUE SILVER T-LIGHT GLASS,12949,534,15176.42,431.6333333333333,3021.4333333333334
ANTIQUE SILVER TEA GLASS ENGRAVED,15028,559,17162.93,500.93333333333334,3506.5333333333333
ANTIQUE SILVER TEA GLASS ETCHED,18604,789,21540.440000000002,620.1333333333333,4340.933333333333
ANTIQUE TALL SWIRLGLASS TRINKET POT,1003,189,3709.63,33.43333333333333,234.0333333333333
APOTHECARY MEASURING JAR,64,21,751.4000000000001,2.1333333333333333,14.933333333333334
APPLE BATH SPONGE,3038,293,3729.29,101.26666666666667,708.8666666666667
APRON APPLE DELIGHT,492,112,2330.4,16.4,114.79999999999998
APRON MODERN VINTAGE COTTON,601,89,1519.95,20.033333333333335,140.23333333333335
AQUA BERTIE GLASS BEAD BAG CHARM,31,6,50.1,1.0333333333333334,7.233333333333334
ARCHED GREY MIRROR,84,16,540.6,2.8,19.599999999999998
AREA PATROLLED METAL SIGN,7346,696,14563.1,244.86666666666667,1714.0666666666666
ARMY CAMO BOOKCOVER TAPE,32,9,13.44,1.0666666666666667,7.466666666666667
ARMY CAMO WRAPPING TAPE,2246,12,157.18,74.86666666666666,524.0666666666666
"ART LIGHTS,FUNK MONKEY",589,76,1579.95,19.633333333333333,137.43333333333334
ASS COL CIRCLE MOBILE ,752,15,276.96,25.066666666666666,175.46666666666667
ASS COL LARGE SAND FROG P'WEIGHT,716,89,682.32,23.866666666666667,167.06666666666666
ASS COL LARGE SAND GECKO P'WEIGHT,809,56,750.63,26.966666666666665,188.76666666666665
ASS COL SMALL SAND FROG P'WEIGHT,1144,27,444.48,38.13333333333333,266.93333333333334
ASS COL SMALL SAND GECKO P'WEIGHT,1584,80,633.24,52.8,369.59999999999997
ASS COLOUR GLOWING TIARAS,697,52,542.05,23.233333333333334,162.63333333333333
ASS DES PHONE SPONGE CRAFT STICKER,1025,28,488.49,34.166666666666664,239.16666666666666
ASS FLORAL PRINT MULTI SCREWDRIVER,2846,191,1396.61,94.86666666666666,664.0666666666666
ASS FLORAL PRINT SCISSORS,6828,22,1169.4,227.6,1593.2
ASS FLORAL PRINT SPIRIT LEVEL ,147,48,191.53,4.9,34.300000000000004
ASS FLORAL PRINT TAPE MEASURE,235,24,289.19,7.833333333333333,54.83333333333333
ASS FLORAL PRINT TORCH,2567,11,729.9499999999999,85.56666666666666,598.9666666666667
"ASS RETROSPOOF MUGS,SPORTS",143,6,75.0,4.766666666666667,33.36666666666667
ASS WINDPROOF MARIJUANA LIGHTERS,15,2,6.3,0.5,3.5
ASSORTED BOTTLE TOP  MAGNETS ,3054,141,1157.28,101.8,712.6
ASSORTED CAKES FRIDGE MAGNETS,2790,149,1744.38,93.0,651.0
ASSORTED CHEESE FRIDGE MAGNETS,755,46,484.99,25.166666666666668,176.16666666666669
ASSORTED CIRCULAR MOBILE,1156,39,221.88,38.53333333333333,269.73333333333335
ASSORTED COLOUR BIRD ORNAMENT,78234,2652,124351.86,2607.8,18254.600000000002
ASSORTED COLOUR JUMBO PEN,247,16,103.74,8.233333333333333,57.633333333333326
ASSORTED COLOUR LIZARD SUCTION HOOK,1437,72,561.78,47.9,335.3
ASSORTED COLOUR METAL CAT ,226,38,271.1,7.533333333333333,52.733333333333334
ASSORTED COLOUR MINI CASES,2972,726,21169.64,99.06666666666666,693.4666666666667
ASSORTED COLOUR SET 6 TEASPOONS,227,63,964.75,7.566666666666666,52.96666666666667
ASSORTED COLOUR SILK COIN PURSE,3551,43,1667.5900000000001,118.36666666666666,828.5666666666666
ASSORTED COLOUR SILK COSMETIC PURSE,1394,41,1535.4,46.46666666666667,325.26666666666665
ASSORTED COLOUR SILK GLASSES CASE,1987,47,1051.14,66.23333333333333,463.6333333333333
ASSORTED COLOUR SUCTION CUP HOOK,354,29,67.26,11.8,82.60000000000001
ASSORTED COLOUR T-LIGHT HOLDER,5610,221,3677.1400000000003,187.0,1309.0
ASSORTED COLOURED CIRCLE MOBILE ,64,7,26.88,2.1333333333333333,14.933333333333334
